location_code,cidade,bairro,logradouro,location,neighborhood_code,city_code
12658,limeira,vila claudia,avenida antonio ometo,limeira|vila claudia|avenida antonio ometo,5215,202
1427,birigui,chacaras caicara,rua benjamin strozi,birigui|chacaras caicara|rua benjamin strozi,683,43
1440,birigui,jardim vitrine,rua silvio vieira coelho,birigui|jardim vitrine|rua silvio vieira coelho,2837,43
17021,praia grande,solemar ii,avenida ministro marcos freire,praia grande|solemar ii|avenida ministro marcos freire,4848,305
11939,jardinopolis,jardinopolis,avenida prefeito newton reis,jardinopolis|jardinopolis|avenida prefeito newton reis,2858,187
22251,sao jose do rio preto,rural,rua doutor coutinho cavalcante,s.jose do rio preto|rural|rua doutor coutinho cavalcante,4680,351
1422,birigui,centro,rua jose fiorotto,birigui|centro|rua jose fiorotto,513,43
1421,birigui,centro,avenida governador pedro de toledo,birigui|centro|avenida governador pedro de toledo,513,43
12929,marilia,jardim universitario,rua doutor zoroastro gouveia,marilia|jardim universitario|rua doutor zoroastro gouveia,2784,214
14886,osasco,ayrosa,rua salvador nunes,osasco|ayrosa|rua salvador nunes,152,249
789,assis,centro,rua sebastiao da silva leite,assis|centro|rua sebastiao da silva leite,513,27
30252,sao paulo,pirituba,rua rosalio jose da conceicao,s.paulo|pirituba|rua rosalio jose da conceicao,4216,358
22092,sao gertrudes,centro,avenida 3,s.gertrudes|centro|avenida 3,513,345
34711,sao vicente,parque bitaru,rua loreti,s.vicente|parque bitaru|rua loreti,3806,366
1453,birigui,vila izabel marin,rua aurora,birigui|vila izabel marin|rua aurora,5460,43
7234,guaicara,centro,rua jose souto pereira,guaicara|centro|rua jose souto pereira,513,126
34681,sao vicente,itarare,avenida airton senna da silva,s.vicente|itarare|avenida airton senna da silva,1319,366
17094,rafard,centro,rua alan rolim barbosa,rafard|centro|rua alan rolim barbosa,513,314
26130,sao paulo,iguatemi,travessa nega manhosa,s.paulo|iguatemi|travessa nega manhosa,1258,358
33440,sao paulo,vila jacui,rua silveira da nobrega,s.paulo|vila jacui|rua silveira da nobrega,5463,358
8208,guarulhos,jardim das nacoes,rua venezuela,guarulhos|jardim das nacoes|rua venezuela,1705,136
3533,campinas,vila costa e silva,rua dos carajas,campinas|vila costa e silva|rua dos carajas,5242,61
23545,sao paulo,bras,rua coronel antonio marcelo,s.paulo|bras|rua coronel antonio marcelo,394,358
9097,guarulhos,vila carmela i,rua manoel reis da silva,guarulhos|vila carmela i|rua manoel reis da silva,5184,136
16148,peruibe,belmira novaes,rua parana,peruibe|belmira novaes|rua parana,349,275
6671,ferraz de vasconcelos,tanquinho,rua das saudades,ferraz de vasconcelos|tanquinho|rua das saudades,4887,118
